"ordine","parametro","unita","categoria","col_pre","col_post","n_pre_presenti","n_post_presenti","pre_vuoti","pre_testo_na","post_vuoti","post_testo_na","coppie_complete_CBD","coppie_complete_Placebo","coppie_complete_tot","nota"
1,"Peso","kg","Fisico",6,7,63,61,0,0,2,0,32,29,61,""
2,"BCS Fat %","%","Fisico",8,9,63,62,0,0,1,0,32,30,62,""
3,"RBC","10^6/µl","Ematologico",34,35,62,63,1,0,0,0,32,30,62,""
4,"HGB","g/dl","Ematologico",36,37,62,63,1,0,0,0,32,30,62,""
5,"HCT","%","Ematologico",38,39,62,63,1,0,0,0,32,30,62,""
6,"MCHC","g/dl","Ematologico",40,41,62,63,1,0,0,0,32,30,62,""
7,"RDW","%","Ematologico",42,43,62,63,1,0,0,0,32,30,62,""
8,"WBC","10^3/µl","Ematologico",44,45,62,63,1,0,0,0,32,30,62,""
9,"Neutrofili %","%","Ematologico",46,47,62,63,1,0,0,0,32,30,62,""
10,"Linfociti %","%","Ematologico",48,49,62,63,1,0,0,0,32,30,62,""
11,"Monociti %","%","Ematologico",50,51,62,63,1,0,0,0,32,30,62,""
12,"Eosinofili %","%","Ematologico",52,53,62,63,1,0,0,0,32,30,62,""
13,"Neutrofili assoluti","10^3/µl","Ematologico",54,55,62,63,1,0,0,0,32,30,62,""
14,"Linfociti assoluti","10^3/µl","Ematologico",56,57,62,63,1,0,0,0,32,30,62,""
15,"Monociti assoluti","10^3/µl","Ematologico",58,59,62,63,1,0,0,0,32,30,62,""
16,"Eosinofili assoluti","10^3/µl","Ematologico",60,61,62,63,1,0,0,0,32,30,62,""
17,"PLT","10^3/µl","Ematologico",62,63,62,63,1,0,0,0,32,30,62,""
18,"MPV","fL","Ematologico",64,65,62,63,1,0,0,0,32,30,62,""
19,"PCT","%","Ematologico",66,67,62,63,1,0,0,0,32,30,62,""
20,"GOT-AST","U/L","Biochimico",68,69,63,63,0,0,0,0,32,31,63,""
21,"GPT-ALT","U/L","Biochimico",70,71,63,63,0,0,0,0,32,31,63,""
22,"Bilirubina totale","mg/dl","Biochimico",72,73,63,63,0,0,0,0,32,31,63,""
23,"BUN","mg/dl","Biochimico",74,75,63,63,0,0,0,0,32,31,63,""
24,"Creatinina","mg/dl","Biochimico",76,77,63,63,0,0,0,0,32,31,63,""
25,"dRoms","U.CARR.","Stress ossidativo",80,81,55,21,4,4,33,9,6,11,17,"numerosita' per-gruppo bassa (CBD=6, Placebo=11); dati mancanti elevati (coppie complete tot=17/63)"
26,"Oxy","µmol HClO/ml","Stress ossidativo",82,83,63,31,0,0,32,0,15,16,31,"dati mancanti elevati (coppie complete tot=31/63)"
