"ordine","id","parametro","unita","categoria","gruppo","tempo","n","mediana","Q1","Q3","media","ds","min","max"
1,"peso","Peso","kg","Fisico","CBD","PRE",32,27.4,23.375,30.075,27.396875,6.19105673271873,17,43
1,"peso","Peso","kg","Fisico","CBD","POST",32,27.425,24.3,29.15,27.88125,6.51886530300402,18,49
1,"peso","Peso","kg","Fisico","Placebo","PRE",29,25.2,22,30.1,26.7741379310345,8.3594538087303,12.1,53.6
1,"peso","Peso","kg","Fisico","Placebo","POST",29,25.7,22.4,30,26.7206896551724,8.69779854373445,12.5,57.1
2,"bcs","BCS Fat %","%","Fisico","CBD","PRE",32,3,3,3,2.95833333333333,0.520201229329974,0.666666666666667,4
2,"bcs","BCS Fat %","%","Fisico","CBD","POST",32,3,3,3,3.0625,0.435334502460186,2,4
2,"bcs","BCS Fat %","%","Fisico","Placebo","PRE",30,3,3,3,3.1,0.305128576629365,3,4
2,"bcs","BCS Fat %","%","Fisico","Placebo","POST",30,3,3,3,3.16666666666667,0.461133037377414,2,4
3,"rbc","RBC","10^6/µl","Ematologico","CBD","PRE",32,7.565,7.0275,8.0275,7.5125,0.632404525498488,5.96,8.85
3,"rbc","RBC","10^6/µl","Ematologico","CBD","POST",32,7.41,6.93,7.615,7.2125,0.631117799954458,5.18,7.92
3,"rbc","RBC","10^6/µl","Ematologico","Placebo","PRE",30,7.6,7.3525,8.0875,7.66766666666667,0.59611780444943,6.54,9.06
3,"rbc","RBC","10^6/µl","Ematologico","Placebo","POST",30,7.64,7.005,8.07,7.548,0.656644552985493,6.26,8.75
4,"hgb","HGB","g/dl","Ematologico","CBD","PRE",32,16.75,16.275,17.825,16.9859375,1.36988546583871,14.7,20.61
4,"hgb","HGB","g/dl","Ematologico","CBD","POST",32,17,16.1,17.7,16.748125,1.3516332712685,12.6,18.81
4,"hgb","HGB","g/dl","Ematologico","Placebo","PRE",30,17.3,16.725,18.26,17.5356666666667,1.47485284674107,14.4,21.11
4,"hgb","HGB","g/dl","Ematologico","Placebo","POST",30,17.35,16.325,18.6825,17.4593333333333,1.68994171157048,14.4,21.01
5,"hct","HCT","%","Ematologico","CBD","PRE",32,48.75,46.975,51.975,49.4096875,3.5042881421288,42.4,57.11
5,"hct","HCT","%","Ematologico","CBD","POST",32,48.7,46.225,50.475,48.134375,3.77561013014304,37.2,55.4
5,"hct","HCT","%","Ematologico","Placebo","PRE",30,50.7,48.55,52.55,50.594,3.57642240813069,43,58.2
5,"hct","HCT","%","Ematologico","Placebo","POST",30,49.85,46.25,53.475,49.867,4.75743131938031,40.4,60.1
6,"mchc","MCHC","g/dl","Ematologico","CBD","PRE",32,34.75,33.3,35.5,34.3875,1.40775501901019,31.6,36.6
6,"mchc","MCHC","g/dl","Ematologico","CBD","POST",32,34.65,33.975,35.625,34.803125,1.2609480240497,32,37.3
6,"mchc","MCHC","g/dl","Ematologico","Placebo","PRE",30,34.63,34,35.6,34.9986666666667,2.59770154816394,31.3,46.9
6,"mchc","MCHC","g/dl","Ematologico","Placebo","POST",30,35.04,34.1,36.05,35.0346666666667,1.50796673642389,32.8,38.91
7,"rdw","RDW","%","Ematologico","CBD","PRE",32,12.1,11.45,13.225,12.3971875,1.27759662061231,10.3,15.91
7,"rdw","RDW","%","Ematologico","CBD","POST",32,12.25,11.6,14.3525,12.8578125,1.62333335748272,10.8,16.01
7,"rdw","RDW","%","Ematologico","Placebo","PRE",30,12.1,11.6,13.625,12.7446666666667,1.48268799083318,11,16.21
7,"rdw","RDW","%","Ematologico","Placebo","POST",30,12.15,11.825,14,12.8646666666667,1.5213984794699,10.7,16.41
8,"wbc","WBC","10^3/µl","Ematologico","CBD","PRE",32,8.505,7.7175,9.6125,8.7415625,2.08397589821832,4.13,14.01
8,"wbc","WBC","10^3/µl","Ematologico","CBD","POST",32,8.455,7.7775,10.5125,9.0034375,1.80373735548739,5.94,12.81
8,"wbc","WBC","10^3/µl","Ematologico","Placebo","PRE",30,7.77,6.6225,9.0275,8.28286666666667,2.45585401584183,5.09,17.18
8,"wbc","WBC","10^3/µl","Ematologico","Placebo","POST",30,8.075,6.955,8.75,8.00966666666667,1.57087167397339,5.26,11.64
9,"neu_pct","Neutrofili %","%","Ematologico","CBD","PRE",32,65.5,58.75,73,64.71875,8.50894927367272,46,76
9,"neu_pct","Neutrofili %","%","Ematologico","CBD","POST",32,65,58,70,64.46875,6.92347281401838,55,80
9,"neu_pct","Neutrofili %","%","Ematologico","Placebo","PRE",30,66.5,58,70,64.3,8.55066038990254,44,79
9,"neu_pct","Neutrofili %","%","Ematologico","Placebo","POST",30,65,57,71,63.5666666666667,8.34879026270122,47,80
10,"lym_pct","Linfociti %","%","Ematologico","CBD","PRE",32,24,20,30,25.78125,6.73332767752344,16,44
10,"lym_pct","Linfociti %","%","Ematologico","CBD","POST",32,23,20,31,24.8125,6.26015304357907,13,37
10,"lym_pct","Linfociti %","%","Ematologico","Placebo","PRE",30,26,20,31.75,25.6,7.17082210455485,13,36
10,"lym_pct","Linfociti %","%","Ematologico","Placebo","POST",30,27,21.25,29,25.0333333333333,6.25593970632673,11,37
11,"mon_pct","Monociti %","%","Ematologico","CBD","PRE",32,5,4,8,5.875,2.32448398713599,3,11
11,"mon_pct","Monociti %","%","Ematologico","CBD","POST",32,7,4,8,6.34375,2.33637953998033,3,11
11,"mon_pct","Monociti %","%","Ematologico","Placebo","PRE",30,5,4.25,8,5.93333333333333,1.89251398816556,3,9
11,"mon_pct","Monociti %","%","Ematologico","Placebo","POST",30,6,5,7.75,6.26666666666667,1.74065650186108,3,9
12,"eos_pct","Eosinofili %","%","Ematologico","CBD","PRE",32,4,2,5,4.15625,2.35699884352689,1,11
12,"eos_pct","Eosinofili %","%","Ematologico","CBD","POST",32,5,3.75,7,5.375,3.33843695317473,1,17
12,"eos_pct","Eosinofili %","%","Ematologico","Placebo","PRE",30,4,2,6,4.6,3.04676198950454,1,15
12,"eos_pct","Eosinofili %","%","Ematologico","Placebo","POST",30,5.5,2.25,8,5.56666666666667,3.49071016718151,1,13
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","CBD","PRE",32,5.84,4.82,6.445,5.6471875,1.44573507227069,2.65,8.9
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","CBD","POST",32,5.705,4.8,6.61,5.7784375,1.18512313059758,4.04,8.67
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","Placebo","PRE",30,5.025,4.07,5.83,5.38566666666667,2.00520647029321,2.67,12.54
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","Placebo","POST",30,5.23,4.2525,5.775,5.08066666666667,1.14851308170633,2.89,8.29
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","CBD","PRE",32,2,1.7025,2.47,2.244375,0.851844062285823,1.12,5.06
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","CBD","POST",32,2.145,1.6675,2.6625,2.229375,0.698574296969976,0.89,3.65
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","Placebo","PRE",30,2.175,1.535,2.62,2.07133333333333,0.643035545396736,0.88,3.16
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","Placebo","POST",30,2.005,1.54,2.44,2.02033333333333,0.646782398697095,0.87,3.17
15,"mon_abs","Monociti assoluti","10^3/µl","Ematologico","CBD","PRE",32,0.465,0.3375,0.615,0.513125,0.239683090498616,0.18,1.08
