"ordine","id","parametro","unita","categoria","gruppo","n","mediana_pre","mediana_post","delta_mediana","variazione","p_grezzo","p_fdr","Z","r","magnitudo","check_effsize","esito","nota"
1,"peso","Peso","kg","Fisico","CBD",32,27.4,27.425,0.0249999999999986,"aumento",0.34664919308735,0.573949296869427,0.954125615274562,0.168667173166107,"piccolo",TRUE,"non si rifiuta H0",""
2,"bcs","BCS Fat %","%","Fisico","CBD",32,3,3,0,"invariato",0.344704222006958,0.573949296869427,1.01598396428392,0.179602287680487,"piccolo",TRUE,"non si rifiuta H0",""
3,"rbc","RBC","10^6/µl","Ematologico","CBD",32,7.565,7.41,-0.154999999999999,"diminuzione",0.000487828340575869,0.0126835368549726,-3.49670174263163,0.618135378500411,"grande",TRUE,"si rifiuta H0",""
4,"hgb","HGB","g/dl","Ematologico","CBD",32,16.75,17,0.25,"aumento",0.316866272586064,0.573949296869427,-1.01027275156347,0.178592678369631,"piccolo",TRUE,"non si rifiuta H0",""
5,"hct","HCT","%","Ematologico","CBD",32,48.75,48.7,-0.0499999999999972,"diminuzione",0.0209174880638729,0.129056201800432,-2.31882056078322,0.409913435721151,"medio",TRUE,"si rifiuta H0",""
6,"mchc","MCHC","g/dl","Ematologico","CBD",32,34.75,34.65,-0.0999999999999943,"diminuzione",0.285364870838301,0.573949296869427,1.03813151130736,0.183517457852218,"piccolo",TRUE,"non si rifiuta H0",""
7,"rdw","RDW","%","Ematologico","CBD",32,12.1,12.25,0.15,"aumento",0.22057902827681,0.573505473519706,1.22502151578485,0.216555255227722,"piccolo",TRUE,"non si rifiuta H0",""
8,"wbc","WBC","10^3/µl","Ematologico","CBD",32,8.505,8.455,-0.0499999999999989,"diminuzione",0.873715367146468,0.942610526152686,-0.168290458201522,0.0297498310508219,"trascurabile",TRUE,"non si rifiuta H0",""
9,"neu_pct","Neutrofili %","%","Ematologico","CBD",32,65.5,65,-0.5,"diminuzione",0.464585054674296,0.6357479695543,-0.823996767010763,0.145663425407275,"piccolo",TRUE,"non si rifiuta H0",""
10,"lym_pct","Linfociti %","%","Ematologico","CBD",32,24,23,-1,"diminuzione",0.804254723720096,0.942610526152686,-0.197055010378918,0.0348347335264296,"trascurabile",TRUE,"non si rifiuta H0",""
11,"mon_pct","Monociti %","%","Ematologico","CBD",32,5,7,2,"aumento",0.353199567304263,0.573949296869427,0.996811329348564,0.176213012636487,"piccolo",TRUE,"non si rifiuta H0",""
12,"eos_pct","Eosinofili %","%","Ematologico","CBD",32,4,5,1,"aumento",0.020171653180673,0.129056201800432,2.21203320704977,0.39103592022868,"medio",TRUE,"si rifiuta H0",""
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","CBD",32,5.84,5.705,-0.135,"diminuzione",0.903258768238037,0.942610526152686,-0.130895439109693,0.0231392631552137,"trascurabile",TRUE,"non si rifiuta H0",""
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","CBD",32,2,2.145,0.145,"aumento",0.821690602513916,0.942610526152686,0.252457756252564,0.0446286478523321,"trascurabile",TRUE,"non si rifiuta H0",""
15,"mon_abs","Monociti assoluti","10^3/µl","Ematologico","CBD",32,0.465,0.515,0.05,"aumento",0.404893718375645,0.584846482098153,0.869595722914663,0.153724258140944,"piccolo",TRUE,"non si rifiuta H0",""
16,"eos_abs","Eosinofili assoluti","10^3/µl","Ematologico","CBD",32,0.325,0.41,0.085,"aumento",0.024818500346237,0.129056201800432,2.25356700500657,0.398378127774602,"medio",TRUE,"si rifiuta H0",""
17,"plt","PLT","10^3/µl","Ematologico","CBD",32,273.5,302.5,29,"aumento",0.111920863755113,0.415706065376136,1.5989690216902,0.28266045953609,"piccolo",TRUE,"non si rifiuta H0",""
18,"mpv","MPV","fL","Ematologico","CBD",32,9.8,9.85,0.0500000000000007,"aumento",0.906356275146813,0.942610526152686,0.112247616980131,0.0198427627846701,"trascurabile",TRUE,"non si rifiuta H0",""
19,"pct","PCT","%","Ematologico","CBD",32,0.275,0.3,0.025,"aumento",0.141420649108557,0.45961710960281,1.44288016599397,0.255067587453476,"piccolo",TRUE,"non si rifiuta H0",""
20,"got_ast","GOT-AST","U/L","Biochimico","CBD",32,39.5,44.5,5,"aumento",0.378929824105546,0.579539730984953,0.889230158930118,0.157195168853769,"piccolo",TRUE,"non si rifiuta H0",""
21,"gpt_alt","GPT-ALT","U/L","Biochimico","CBD",32,37,37,0,"invariato",0.293371679532296,0.573949296869427,-1.22730427497657,0.216958793853792,"piccolo",TRUE,"non si rifiuta H0",""
22,"bil_tot","Bilirubina totale","mg/dl","Biochimico","CBD",32,0.12,0.165,0.045,"aumento",0.0154358133716407,0.129056201800432,2.43134041300809,0.429804323352731,"medio",TRUE,"si rifiuta H0",""
23,"bun","BUN","mg/dl","Biochimico","CBD",32,32,34,2,"aumento",0.202947646148526,0.573505473519706,1.28256015878846,0.226726746389754,"piccolo",TRUE,"non si rifiuta H0",""
24,"creat","Creatinina","mg/dl","Biochimico","CBD",32,0.965,1.04,0.0750000000000001,"aumento",0.0543795172246774,0.235644574640269,1.9456679213442,0.343948745279905,"medio",TRUE,"non si rifiuta H0",""
25,"droms","dRoms","U.CARR.","Stress ossidativo","CBD",6,31,29,-2,"diminuzione",1,1,0.104828483672192,0.0427960492510913,"trascurabile",TRUE,"non si rifiuta H0","n bassa (6)"
26,"oxy","Oxy","µmol HClO/ml","Stress ossidativo","CBD",15,329.9,327.4,-2.5,"diminuzione",0.670128703919811,0.871167315095755,-0.454369467397652,0.117317692017083,"piccolo",TRUE,"non si rifiuta H0",""
1,"peso","Peso","kg","Fisico","Placebo",29,25.2,25.7,0.5,"aumento",0.7125939007326,0.88619625514091,0.389616322139237,0.0723499346989449,"trascurabile",TRUE,"non si rifiuta H0",""
2,"bcs","BCS Fat %","%","Fisico","Placebo",30,3,3,0,"invariato",0.423710797166793,0.734432048422442,1,0.182574185835055,"piccolo",TRUE,"non si rifiuta H0",""
3,"rbc","RBC","10^6/µl","Ematologico","Placebo",30,7.6,7.64,0.04,"aumento",0.188036962174011,0.611120127065536,-1.32669296799162,0.242219888484164,"piccolo",TRUE,"non si rifiuta H0",""
4,"hgb","HGB","g/dl","Ematologico","Placebo",30,17.3,17.35,0.0500000000000043,"aumento",0.616334165591109,0.88619625514091,-0.46297129352614,0.0845266069805374,"trascurabile",TRUE,"non si rifiuta H0",""
5,"hct","HCT","%","Ematologico","Placebo",30,50.7,49.85,-0.850000000000001,"diminuzione",0.313475950864599,0.734432048422442,-1.01824049709946,0.185904429742216,"piccolo",TRUE,"non si rifiuta H0",""
6,"mchc","MCHC","g/dl","Ematologico","Placebo",30,34.63,35.04,0.409999999999997,"aumento",0.381046309670025,0.734432048422442,0.894983106895096,0.163400812077501,"piccolo",TRUE,"non si rifiuta H0",""
7,"rdw","RDW","%","Ematologico","Placebo",30,12.1,12.15,0.0499999999999989,"aumento",0.975381306844286,0.975381306844286,-0.041146471473298,0.00751228352922271,"trascurabile",TRUE,"non si rifiuta H0",""
8,"wbc","WBC","10^3/µl","Ematologico","Placebo",30,7.77,8.075,0.305,"aumento",0.934429340278185,0.975381306844286,0.0925575270970235,0.0168986151526451,"trascurabile",TRUE,"non si rifiuta H0",""
9,"neu_pct","Neutrofili %","%","Ematologico","Placebo",30,66.5,65,-1.5,"diminuzione",0.918002948704411,0.975381306844286,-0.185868508400693,0.0339347915936326,"trascurabile",TRUE,"non si rifiuta H0",""
10,"lym_pct","Linfociti %","%","Ematologico","Placebo",30,26,27,1,"aumento",0.391975957623867,0.734432048422442,-0.865841358430371,0.158080281077743,"piccolo",TRUE,"non si rifiuta H0",""
11,"mon_pct","Monociti %","%","Ematologico","Placebo",30,5,6,1,"aumento",0.402009047784181,0.734432048422442,0.877694551882533,0.160244368221817,"piccolo",TRUE,"non si rifiuta H0",""
12,"eos_pct","Eosinofili %","%","Ematologico","Placebo",30,4,5.5,1.5,"aumento",0.155142499416271,0.576243569260434,1.33091960241185,0.24299156282226,"piccolo",TRUE,"non si rifiuta H0",""
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico","Placebo",30,5.025,5.23,0.205,"aumento",0.749858369734616,0.88619625514091,-0.329110834201663,0.0600871426038646,"trascurabile",TRUE,"non si rifiuta H0",""
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico","Placebo",30,2.175,2.005,-0.17,"diminuzione",0.543984908840434,0.883975476865705,-0.617082814128119,0.112663392382246,"piccolo",TRUE,"non si rifiuta H0",""
15,"mon_abs","Monociti assoluti","10^3/µl","Ematologico","Placebo",30,0.475,0.49,0.015,"aumento",0.676609009672553,0.88619625514091,0.38164616198345,0.069678737301202,"trascurabile",TRUE,"non si rifiuta H0",""
16,"eos_abs","Eosinofili assoluti","10^3/µl","Ematologico","Placebo",30,0.36,0.455,0.095,"aumento",0.304330011966986,0.734432048422442,1.03883848633349,0.189665090856458,"piccolo",TRUE,"non si rifiuta H0",""
17,"plt","PLT","10^3/µl","Ematologico","Placebo",30,253,279.5,26.5,"aumento",0.114378111756525,0.495638484278276,1.58413915172197,0.289222915875074,"piccolo",TRUE,"non si rifiuta H0",""
18,"mpv","MPV","fL","Ematologico","Placebo",30,10.35,10.15,-0.200000000000003,"diminuzione",0.107316622528389,0.495638484278276,-1.60602997277446,0.293219614705993,"piccolo",TRUE,"non si rifiuta H0",""
19,"pct","PCT","%","Ematologico","Placebo",30,0.27,0.28,0.01,"aumento",0.731642221836273,0.88619625514091,0.453283179429279,0.0827578074370258,"trascurabile",TRUE,"non si rifiuta H0",""
20,"got_ast","GOT-AST","U/L","Biochimico","Placebo",31,39,43,4,"aumento",0.0957892505518161,0.495638484278276,1.6960376774005,0.304617359298307,"medio",TRUE,"non si rifiuta H0",""
21,"gpt_alt","GPT-ALT","U/L","Biochimico","Placebo",31,36,38,2,"aumento",0.950713070633391,0.975381306844286,-0.029442201783263,0.00528797554361621,"trascurabile",TRUE,"non si rifiuta H0",""
22,"bil_tot","Bilirubina totale","mg/dl","Biochimico","Placebo",31,0.13,0.14,0.01,"aumento",0.0670689421695023,0.495638484278276,1.83293697978134,0.329205199849672,"medio",TRUE,"non si rifiuta H0",""
23,"bun","BUN","mg/dl","Biochimico","Placebo",31,29,30,1,"aumento",0.617790597389205,0.88619625514091,0.560157673214752,0.100607288080351,"piccolo",TRUE,"non si rifiuta H0",""
24,"creat","Creatinina","mg/dl","Biochimico","Placebo",31,1,1.07,0.0700000000000001,"aumento",0.0585972808350558,0.495638484278276,1.90100175486394,0.341429994335767,"medio",TRUE,"non si rifiuta H0",""
25,"droms","dRoms","U.CARR.","Stress ossidativo","Placebo",11,48,28,-20,"diminuzione",0.0414910873877316,0.495638484278276,-2.09147254960293,0.630602700578262,"grande",TRUE,"si rifiuta H0",""
26,"oxy","Oxy","µmol HClO/ml","Stress ossidativo","Placebo",16,346.45,329.85,-16.6,"diminuzione",0.313300386857646,0.734432048422442,-1.03417537999004,0.25854384499751,"piccolo",TRUE,"non si rifiuta H0",""
