"ordine","id","parametro","unita","categoria","n_cbd","n_placebo","mediana_delta_cbd","mediana_delta_placebo","p_grezzo","p_fdr","Z","r","magnitudo","check_effsize","esito","nota"
1,"peso","Peso","kg","Fisico",32,29,0.225000000000001,0,0.69110647725721,0.955951939152838,0.40457855540889,0.0518009759223125,"trascurabile",TRUE,"non si rifiuta H0",""
2,"bcs","BCS Fat %","%","Fisico",32,30,0,0,1,1,-0.0120995243208067,0.00153664112538435,"trascurabile",TRUE,"non si rifiuta H0",""
3,"rbc","RBC","10^6/µl","Ematologico",32,30,-0.265,-0.21,0.183133661106094,0.955951939152838,-1.33821145241464,0.169953024409768,"piccolo",TRUE,"non si rifiuta H0",""
4,"hgb","HGB","g/dl","Ematologico",32,30,-0.199999999999999,0,0.805254183216869,0.955951939152838,-0.253597370154718,0.0322068982165635,"trascurabile",TRUE,"non si rifiuta H0",""
5,"hct","HCT","%","Ematologico",32,30,-1.2,-1.305,0.539994229750646,0.955951939152838,-0.619865644552422,0.0787230155812125,"trascurabile",TRUE,"non si rifiuta H0",""
6,"mchc","MCHC","g/dl","Ematologico",32,30,0.100000000000001,0.25,0.876833947130524,0.955951939152838,0.162028705932345,0.0205776662310843,"trascurabile",TRUE,"non si rifiuta H0",""
7,"rdw","RDW","%","Ematologico",32,30,0.2,-0.199999999999999,0.352426920857807,0.955951939152838,0.936936801056672,0.11899109272535,"piccolo",TRUE,"non si rifiuta H0",""
8,"wbc","WBC","10^3/µl","Ematologico",32,30,-0.0300000000000002,0.0949999999999998,0.854704600250185,0.955951939152838,-0.190162101654261,0.0241506110607142,"trascurabile",TRUE,"non si rifiuta H0",""
9,"neu_pct","Neutrofili %","%","Ematologico",32,30,-1,-1,0.837693335780236,0.955951939152838,-0.211908477334031,0.0269124035338389,"trascurabile",TRUE,"non si rifiuta H0",""
10,"lym_pct","Linfociti %","%","Ematologico",32,30,0.5,-1,0.810201583870462,0.955951939152838,0.247229688063918,0.031398201782335,"trascurabile",TRUE,"non si rifiuta H0",""
11,"mon_pct","Monociti %","%","Ematologico",32,30,1,0,0.776096656737193,0.955951939152838,0.291519634227305,0.0370230305699168,"trascurabile",TRUE,"non si rifiuta H0",""
12,"eos_pct","Eosinofili %","%","Ematologico",32,30,0.5,0,0.693344833349226,0.955951939152838,0.401489407378858,0.0509892057263462,"trascurabile",TRUE,"non si rifiuta H0",""
13,"neu_abs","Neutrofili assoluti","10^3/µl","Ematologico",32,30,0.065,-0.0599999999999996,0.88241717460262,0.955951939152838,0.154948848661893,0.0196785234585937,"trascurabile",TRUE,"non si rifiuta H0",""
14,"lym_abs","Linfociti assoluti","10^3/µl","Ematologico",32,30,0.0350000000000001,-0.0249999999999999,0.526158059523961,0.955951939152838,0.640924783101466,0.0813975288514557,"trascurabile",TRUE,"non si rifiuta H0",""
15,"mon_abs","Monociti assoluti","10^3/µl","Ematologico",32,30,0.055,0,0.652010855102622,0.955951939152838,0.458016851402049,0.0581681982962876,"trascurabile",TRUE,"non si rifiuta H0",""
16,"eos_abs","Eosinofili assoluti","10^3/µl","Ematologico",32,30,0.04,0.02,0.409860269933793,0.955951939152838,0.831183477922566,0.105560407256626,"piccolo",TRUE,"non si rifiuta H0",""
17,"plt","PLT","10^3/µl","Ematologico",32,30,10,5.5,0.805258990486003,0.955951939152838,0.25359098174843,0.0322060868881537,"trascurabile",TRUE,"non si rifiuta H0",""
18,"mpv","MPV","fL","Ematologico",32,30,-0.0499999999999998,-0.25,0.253666009029266,0.955951939152838,1.14853638461301,0.145864266710192,"piccolo",TRUE,"non si rifiuta H0",""
19,"pct","PCT","%","Ematologico",32,30,0.015,0.00499999999999998,0.446012563744914,0.955951939152838,0.769135780524583,0.0976803418070127,"trascurabile",TRUE,"non si rifiuta H0",""
20,"got_ast","GOT-AST","U/L","Biochimico",32,31,-1,4,0.500146518423459,0.955951939152838,-0.681139427497949,0.0858155015866897,"trascurabile",TRUE,"non si rifiuta H0",""
21,"gpt_alt","GPT-ALT","U/L","Biochimico",32,31,-1.5,2,0.572528101357143,0.955951939152838,-0.571214255297685,0.0719662316596493,"trascurabile",TRUE,"non si rifiuta H0",""
22,"bil_tot","Bilirubina totale","mg/dl","Biochimico",32,31,0.05,0.04,0.762246317635374,0.955951939152838,0.309408029842372,0.0389817476480652,"trascurabile",TRUE,"non si rifiuta H0",""
23,"bun","BUN","mg/dl","Biochimico",32,31,1,1,0.586486517273514,0.955951939152838,0.550819790555195,0.0693967706200824,"trascurabile",TRUE,"non si rifiuta H0",""
24,"creat","Creatinina","mg/dl","Biochimico",32,31,0.085,0.0799999999999998,0.809834817350238,0.955951939152838,-0.247514536994938,0.0311839005124716,"trascurabile",TRUE,"non si rifiuta H0",""
25,"droms","dRoms","U.CARR.","Stress ossidativo",6,11,0.5,-16,0.191093707965123,0.955951939152838,1.35763318870368,0.329274413992316,"medio",TRUE,"non si rifiuta H0","n bassa (CBD=6, Placebo=11)"
26,"oxy","Oxy","µmol HClO/ml","Stress ossidativo",15,16,-12.2,-10.65,0.952718970562079,0.990827729384562,0.0790569415042095,0.0141990458561766,"trascurabile",TRUE,"non si rifiuta H0",""
