"ordine","parametro","unita","categoria","n_cbd","n_placebo","cbd_pre_mediana","cbd_pre_Q1","cbd_pre_Q3","cbd_pre_media","cbd_post_mediana","cbd_post_Q1","cbd_post_Q3","cbd_post_media","pla_pre_mediana","pla_pre_Q1","pla_pre_Q3","pla_pre_media","pla_post_mediana","pla_post_Q1","pla_post_Q3","pla_post_media","wcbd_variazione","p_wilcoxon_cbd","p_fdr_wilcoxon_cbd","r_wilcoxon_cbd","wpla_variazione","p_wilcoxon_placebo","p_fdr_wilcoxon_placebo","r_wilcoxon_placebo","p_mann_whitney","p_fdr_mann_whitney","r_mann_whitney","esito_wilcoxon_cbd_grezzo","esito_wilcoxon_cbd_fdr","esito_wilcoxon_placebo_grezzo","esito_wilcoxon_placebo_fdr","esito_mann_whitney_grezzo","esito_mann_whitney_fdr"
1,"Peso","kg","Fisico",32,29,27.4,23.375,30.075,27.397,27.425,24.3,29.15,27.881,25.2,22,30.1,26.774,25.7,22.4,30,26.721,"aumento",0.3466,0.5739,0.169,"aumento",0.7126,0.8862,0.072,0.6911,0.956,0.052,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
2,"BCS Fat %","%","Fisico",32,30,3,3,3,2.958,3,3,3,3.062,3,3,3,3.1,3,3,3,3.167,"invariato",0.3447,0.5739,0.18,"invariato",0.4237,0.7344,0.183,1,1,0.002,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
3,"RBC","10^6/µl","Ematologico",32,30,7.565,7.028,8.028,7.513,7.41,6.93,7.615,7.213,7.6,7.352,8.088,7.668,7.64,7.005,8.07,7.548,"diminuzione",0.0005,0.0127,0.618,"aumento",0.188,0.6111,0.242,0.1831,0.956,0.17,"si rifiuta H0","si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
4,"HGB","g/dl","Ematologico",32,30,16.75,16.275,17.825,16.986,17,16.1,17.7,16.748,17.3,16.725,18.26,17.536,17.35,16.325,18.683,17.459,"aumento",0.3169,0.5739,0.179,"aumento",0.6163,0.8862,0.085,0.8053,0.956,0.032,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
5,"HCT","%","Ematologico",32,30,48.75,46.975,51.975,49.41,48.7,46.225,50.475,48.134,50.7,48.55,52.55,50.594,49.85,46.25,53.475,49.867,"diminuzione",0.0209,0.1291,0.41,"diminuzione",0.3135,0.7344,0.186,0.54,0.956,0.079,"si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
6,"MCHC","g/dl","Ematologico",32,30,34.75,33.3,35.5,34.388,34.65,33.975,35.625,34.803,34.63,34,35.6,34.999,35.04,34.1,36.05,35.035,"diminuzione",0.2854,0.5739,0.184,"aumento",0.381,0.7344,0.163,0.8768,0.956,0.021,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
7,"RDW","%","Ematologico",32,30,12.1,11.45,13.225,12.397,12.25,11.6,14.352,12.858,12.1,11.6,13.625,12.745,12.15,11.825,14,12.865,"aumento",0.2206,0.5735,0.217,"aumento",0.9754,0.9754,0.008,0.3524,0.956,0.119,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
8,"WBC","10^3/µl","Ematologico",32,30,8.505,7.717,9.613,8.742,8.455,7.778,10.513,9.003,7.77,6.623,9.028,8.283,8.075,6.955,8.75,8.01,"diminuzione",0.8737,0.9426,0.03,"aumento",0.9344,0.9754,0.017,0.8547,0.956,0.024,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
9,"Neutrofili %","%","Ematologico",32,30,65.5,58.75,73,64.719,65,58,70,64.469,66.5,58,70,64.3,65,57,71,63.567,"diminuzione",0.4646,0.6357,0.146,"diminuzione",0.918,0.9754,0.034,0.8377,0.956,0.027,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
10,"Linfociti %","%","Ematologico",32,30,24,20,30,25.781,23,20,31,24.812,26,20,31.75,25.6,27,21.25,29,25.033,"diminuzione",0.8043,0.9426,0.035,"aumento",0.392,0.7344,0.158,0.8102,0.956,0.031,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
11,"Monociti %","%","Ematologico",32,30,5,4,8,5.875,7,4,8,6.344,5,4.25,8,5.933,6,5,7.75,6.267,"aumento",0.3532,0.5739,0.176,"aumento",0.402,0.7344,0.16,0.7761,0.956,0.037,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
12,"Eosinofili %","%","Ematologico",32,30,4,2,5,4.156,5,3.75,7,5.375,4,2,6,4.6,5.5,2.25,8,5.567,"aumento",0.0202,0.1291,0.391,"aumento",0.1551,0.5762,0.243,0.6933,0.956,0.051,"si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
13,"Neutrofili assoluti","10^3/µl","Ematologico",32,30,5.84,4.82,6.445,5.647,5.705,4.8,6.61,5.778,5.025,4.07,5.83,5.386,5.23,4.252,5.775,5.081,"diminuzione",0.9033,0.9426,0.023,"aumento",0.7499,0.8862,0.06,0.8824,0.956,0.02,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
14,"Linfociti assoluti","10^3/µl","Ematologico",32,30,2,1.702,2.47,2.244,2.145,1.668,2.663,2.229,2.175,1.535,2.62,2.071,2.005,1.54,2.44,2.02,"aumento",0.8217,0.9426,0.045,"diminuzione",0.544,0.884,0.113,0.5262,0.956,0.081,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
15,"Monociti assoluti","10^3/µl","Ematologico",32,30,0.465,0.338,0.615,0.513,0.515,0.358,0.755,0.558,0.475,0.322,0.588,0.494,0.49,0.392,0.592,0.509,"aumento",0.4049,0.5848,0.154,"aumento",0.6766,0.8862,0.07,0.652,0.956,0.058,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
16,"Eosinofili assoluti","10^3/µl","Ematologico",32,30,0.325,0.17,0.475,0.373,0.41,0.32,0.602,0.516,0.36,0.165,0.448,0.377,0.455,0.18,0.607,0.455,"aumento",0.0248,0.1291,0.398,"aumento",0.3043,0.7344,0.19,0.4099,0.956,0.106,"si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
17,"PLT","10^3/µl","Ematologico",32,30,273.5,239.5,312,275.531,302.5,220,349.75,298.25,253,216.25,313,275.233,279.5,226,336,288.567,"aumento",0.1119,0.4157,0.283,"aumento",0.1144,0.4956,0.289,0.8053,0.956,0.032,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
18,"MPV","fL","Ematologico",32,30,9.8,9.25,10.85,10.242,9.85,9.275,10.75,9.945,10.35,9.425,10.875,10.138,10.15,9.3,10.875,10.091,"aumento",0.9064,0.9426,0.02,"diminuzione",0.1073,0.4956,0.293,0.2537,0.956,0.146,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
19,"PCT","%","Ematologico",32,30,0.275,0.23,0.302,0.271,0.3,0.23,0.332,0.29,0.27,0.232,0.32,0.288,0.28,0.23,0.33,0.289,"aumento",0.1414,0.4596,0.255,"aumento",0.7316,0.8862,0.083,0.446,0.956,0.098,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
20,"GOT-AST","U/L","Biochimico",32,31,39.5,34,47.25,41.719,44.5,36.75,53,45,39,34,44.5,39.613,43,31.5,50.5,44.871,"aumento",0.3789,0.5795,0.157,"aumento",0.0958,0.4956,0.305,0.5001,0.956,0.086,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
21,"GPT-ALT","U/L","Biochimico",32,31,37,30,42,38.812,37,30.75,42,38.625,36,30,43.5,38.774,38,28.5,43,38.645,"invariato",0.2934,0.5739,0.217,"aumento",0.9507,0.9754,0.005,0.5725,0.956,0.072,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
22,"Bilirubina totale","mg/dl","Biochimico",32,31,0.12,0.1,0.16,0.145,0.165,0.12,0.22,0.181,0.13,0.1,0.155,0.145,0.14,0.11,0.25,0.181,"aumento",0.0154,0.1291,0.43,"aumento",0.0671,0.4956,0.329,0.7622,0.956,0.039,"si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
23,"BUN","mg/dl","Biochimico",32,31,32,27.75,37,32.375,34,28,40,34.406,29,26,35,30,30,27,33.5,31.065,"aumento",0.2029,0.5735,0.227,"aumento",0.6178,0.8862,0.101,0.5865,0.956,0.069,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
24,"Creatinina","mg/dl","Biochimico",32,31,0.965,0.86,1.042,0.977,1.04,0.935,1.125,1.022,1,0.9,1.13,1.017,1.07,0.945,1.205,1.079,"aumento",0.0544,0.2356,0.344,"aumento",0.0586,0.4956,0.341,0.8098,0.956,0.031,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
25,"dRoms","U.CARR.","Stress ossidativo",6,11,31,18.75,44.75,31.667,29,11.5,39.75,29,48,34,53.5,46.636,28,10,42.5,27.091,"diminuzione",1,1,0.043,"diminuzione",0.0415,0.4956,0.631,0.1911,0.956,0.329,"non si rifiuta H0","non si rifiuta H0","si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
26,"Oxy","µmol HClO/ml","Stress ossidativo",15,16,329.9,322,345.25,329.007,327.4,297.65,353.55,308.833,346.45,328.85,360.05,334.3,329.85,312.375,347.425,321.919,"diminuzione",0.6701,0.8712,0.117,"diminuzione",0.3133,0.7344,0.259,0.9527,0.9908,0.014,"non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0","non si rifiuta H0"
