"Parametro","Unita","Categoria","n CBD","n Placebo","CBD PRE  mediana [Q1-Q3]","CBD POST mediana [Q1-Q3]","CBD media PRE","CBD media POST","Placebo PRE  mediana [Q1-Q3]","Placebo POST mediana [Q1-Q3]","Placebo media PRE","Placebo media POST","Wilcoxon CBD variazione","Wilcoxon CBD p","Wilcoxon CBD p FDR","Wilcoxon CBD r","Wilcoxon CBD esito (grezzo)","Wilcoxon CBD esito (FDR)","Wilcoxon Placebo variazione","Wilcoxon Placebo p","Wilcoxon Placebo p FDR","Wilcoxon Placebo r","Wilcoxon Placebo esito (grezzo)","Wilcoxon Placebo esito (FDR)","Mann-Whitney p","Mann-Whitney p FDR","Mann-Whitney r","Mann-Whitney esito (grezzo)","Mann-Whitney esito (FDR)"
"Peso","kg","Fisico",32,29,"27.40 [23.38–30.07]","27.43 [24.30–29.15]",27.397,27.881,"25.20 [22.00–30.10]","25.70 [22.40–30.00]",26.774,26.721,"aumento","0.3466","0.5739","0.169 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.7126","0.8862","0.072 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.6911","0.9560","0.052 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"BCS Fat %","%","Fisico",32,30,"3.00 [3.00–3.00]","3.00 [3.00–3.00]",2.958,3.062,"3.00 [3.00–3.00]","3.00 [3.00–3.00]",3.1,3.167,"invariato","0.3447","0.5739","0.180 (piccolo)","non si rifiuta H0","non si rifiuta H0","invariato","0.4237","0.7344","0.183 (piccolo)","non si rifiuta H0","non si rifiuta H0","1.0000","1.0000","0.002 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"RBC","10^6/µl","Ematologico",32,30,"7.57 [7.03–8.03]","7.41 [6.93–7.62]",7.513,7.213,"7.60 [7.35–8.09]","7.64 [7.00–8.07]",7.668,7.548,"diminuzione","< 0.001","0.0127","0.618 (grande)","si rifiuta H0","si rifiuta H0","aumento","0.1880","0.6111","0.242 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.1831","0.9560","0.170 (piccolo)","non si rifiuta H0","non si rifiuta H0"
"HGB","g/dl","Ematologico",32,30,"16.75 [16.27–17.82]","17.00 [16.10–17.70]",16.986,16.748,"17.30 [16.73–18.26]","17.35 [16.32–18.68]",17.536,17.459,"aumento","0.3169","0.5739","0.179 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.6163","0.8862","0.085 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.8053","0.9560","0.032 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"HCT","%","Ematologico",32,30,"48.75 [46.98–51.98]","48.70 [46.23–50.48]",49.41,48.134,"50.70 [48.55–52.55]","49.85 [46.25–53.48]",50.594,49.867,"diminuzione","0.0209","0.1291","0.410 (medio)","si rifiuta H0","non si rifiuta H0","diminuzione","0.3135","0.7344","0.186 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.5400","0.9560","0.079 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"MCHC","g/dl","Ematologico",32,30,"34.75 [33.30–35.50]","34.65 [33.98–35.62]",34.388,34.803,"34.63 [34.00–35.60]","35.04 [34.10–36.05]",34.999,35.035,"diminuzione","0.2854","0.5739","0.184 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.3810","0.7344","0.163 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.8768","0.9560","0.021 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"RDW","%","Ematologico",32,30,"12.10 [11.45–13.22]","12.25 [11.60–14.35]",12.397,12.858,"12.10 [11.60–13.62]","12.15 [11.82–14.00]",12.745,12.865,"aumento","0.2206","0.5735","0.217 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.9754","0.9754","0.008 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.3524","0.9560","0.119 (piccolo)","non si rifiuta H0","non si rifiuta H0"
"WBC","10^3/µl","Ematologico",32,30,"8.51 [7.72–9.61]","8.46 [7.78–10.51]",8.742,9.003,"7.77 [6.62–9.03]","8.07 [6.96–8.75]",8.283,8.01,"diminuzione","0.8737","0.9426","0.030 (trascurabile)","non si rifiuta H0","non si rifiuta H0","aumento","0.9344","0.9754","0.017 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.8547","0.9560","0.024 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Neutrofili %","%","Ematologico",32,30,"65.50 [58.75–73.00]","65.00 [58.00–70.00]",64.719,64.469,"66.50 [58.00–70.00]","65.00 [57.00–71.00]",64.3,63.567,"diminuzione","0.4646","0.6357","0.146 (piccolo)","non si rifiuta H0","non si rifiuta H0","diminuzione","0.9180","0.9754","0.034 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.8377","0.9560","0.027 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Linfociti %","%","Ematologico",32,30,"24.00 [20.00–30.00]","23.00 [20.00–31.00]",25.781,24.812,"26.00 [20.00–31.75]","27.00 [21.25–29.00]",25.6,25.033,"diminuzione","0.8043","0.9426","0.035 (trascurabile)","non si rifiuta H0","non si rifiuta H0","aumento","0.3920","0.7344","0.158 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.8102","0.9560","0.031 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Monociti %","%","Ematologico",32,30,"5.00 [4.00–8.00]","7.00 [4.00–8.00]",5.875,6.344,"5.00 [4.25–8.00]","6.00 [5.00–7.75]",5.933,6.267,"aumento","0.3532","0.5739","0.176 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.4020","0.7344","0.160 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.7761","0.9560","0.037 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Eosinofili %","%","Ematologico",32,30,"4.00 [2.00–5.00]","5.00 [3.75–7.00]",4.156,5.375,"4.00 [2.00–6.00]","5.50 [2.25–8.00]",4.6,5.567,"aumento","0.0202","0.1291","0.391 (medio)","si rifiuta H0","non si rifiuta H0","aumento","0.1551","0.5762","0.243 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.6933","0.9560","0.051 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Neutrofili assoluti","10^3/µl","Ematologico",32,30,"5.84 [4.82–6.45]","5.71 [4.80–6.61]",5.647,5.778,"5.03 [4.07–5.83]","5.23 [4.25–5.78]",5.386,5.081,"diminuzione","0.9033","0.9426","0.023 (trascurabile)","non si rifiuta H0","non si rifiuta H0","aumento","0.7499","0.8862","0.060 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.8824","0.9560","0.020 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Linfociti assoluti","10^3/µl","Ematologico",32,30,"2.00 [1.70–2.47]","2.15 [1.67–2.66]",2.244,2.229,"2.17 [1.53–2.62]","2.00 [1.54–2.44]",2.071,2.02,"aumento","0.8217","0.9426","0.045 (trascurabile)","non si rifiuta H0","non si rifiuta H0","diminuzione","0.5440","0.8840","0.113 (piccolo)","non si rifiuta H0","non si rifiuta H0","0.5262","0.9560","0.081 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
"Monociti assoluti","10^3/µl","Ematologico",32,30,"0.47 [0.34–0.61]","0.52 [0.36–0.76]",0.513,0.558,"0.47 [0.32–0.59]","0.49 [0.39–0.59]",0.494,0.509,"aumento","0.4049","0.5848","0.154 (piccolo)","non si rifiuta H0","non si rifiuta H0","aumento","0.6766","0.8862","0.070 (trascurabile)","non si rifiuta H0","non si rifiuta H0","0.6520","0.9560","0.058 (trascurabile)","non si rifiuta H0","non si rifiuta H0"
